,IDENTITY_ATTACK,THREAT,PROFANITY,SEVERE_TOXICITY,TOXICITY,INSULT
0,8.3%,8.2%,36.7%,15.7%,44.9%,25.6%
1,4.3%,3.9%,19.3%,5.9%,24.5%,12.7%
2,9.6%,8.9%,39.4%,16.9%,47.6%,27.8%
3,5.3%,4.4%,23.5%,7.4%,29.6%,16.4%
4,10.5%,8.4%,40.0%,17.2%,47.9%,28.4%
5,5.2%,4.5%,23.0%,7.1%,28.9%,15.8%
6,10.3%,9.1%,40.4%,17.2%,48.3%,28.7%
7,5.3%,4.6%,22.2%,6.5%,28.4%,15.2%
8,10.9%,9.0%,46.0%,18.1%,53.2%,31.9%
9,6.0%,4.7%,21.8%,6.0%,29.4%,16.3%
